type,server_datetime,channel_match_id,channel_next_match_id,active_phase_end
matches,2993866,1387287206,10,1756505567,1756505577,1756505707,8982010,8982011
matches,2993866,1387287214,11,1756506007,1756506017,1756506147,8982001,8982007
matches,2993866,1387287222,12,1756506447,1756506457,1756506587,8982016,8982011
matches,2993866,1387287230,13,1756506887,1756506897,1756507027,8982003,8982009
matches,2993866,1387287238,14,1756507327,1756507337,1756507467,8982005,8982006
matches,2993866,1387287246,15,1756507767,1756507777,1756507907,8982010,8982015
matches,2993866,1387287254,16,1756508207,1756508217,1756508347,8982011,8982007
matches,2993866,1387287262,17,1756508647,1756508657,1756508787,8982005,8982011
matches,2993866,1387287270,18,1756509087,1756509097,1756509227,8982003,8982012
matches,2993866,1387287278,19,1756509527,1756509537,1756509667,8982007,8982016
matches,2993866,1387287286,20,1756509967,1756509977,1756510107,8982008,8982003
matches,2993866,1387287294,21,1756510407,1756510417,1756510547,8982009,8982008
matches,2993866,1387287302,22,1756510847,1756510857,1756510987,8982015,8982005
matches,2993866,1387287310,23,1756511287,1756511297,1756511427,8982014,8982015
matches,2993866,1387287318,24,1756511727,1756511737,1756511867,8982010,8982004
matches,2993866,1387287326,25,1756512167,1756512177,1756512307,8982011,8982010
matches,2993866,1387287334,26,1756512607,1756512617,1756512747,8982007,8982001
matches,2993866,1387287342,27,1756513047,1756513057,1756513187,8982011,8982016
matches,2993866,1387287350,28,1756513487,1756513497,1756513627,8982009,8982003
matches,2993866,1387287358,29,1756513927,1756513937,1756514067,8982006,8982005
matches,2993866,1387287366,30,1756514367,1756514377,1756514507,8982015,8982010
matches,2993866,1387287135,1,1756501607,1756501617,1756501747,8982014,8982003
matches,2993866,1387287143,2,1756502047,1756502057,1756502187,8982002,8982009
matches,2993866,1387287151,3,1756502487,1756502497,1756502627,8982015,8982013
matches,2993866,1387287159,4,1756502927,1756502937,1756503067,8982003,8982006
matches,2993866,1387287167,5,1756503367,1756503377,1756503507,8982001,8982010
matches,2993866,1387287175,6,1756503807,1756503817,1756503947,8982013,8982005
matches,2993866,1387287183,7,1756504247,1756504257,1756504387,8982007,8982009
matches,2993866,1387287191,8,1756504687,1756504697,1756504827,8982011,8982004
matches,2993866,1387287199,9,1756505127,1756505137,1756505267,8982011,8982008
matches,2993866,1387287207,10,1756505567,1756505577,1756505707,8982016,8982003
matches,2993866,1387287215,11,1756506007,1756506017,1756506147,8982010,8982008
matches,2993866,1387287223,12,1756506447,1756506457,1756506587,8982009,8982006
matches,2993866,1387287231,13,1756506887,1756506897,1756507027,8982002,8982008
matches,2993866,1387287239,14,1756507327,1756507337,1756507467,8982008,8982001
matches,2993866,1387287247,15,1756507767,1756507777,1756507907,8982004,8982007
matches,2993866,1387287255,16,1756508207,1756508217,1756508347,8982003,8982014
matches,2993866,1387287263,17,1756508647,1756508657,1756508787,8982009,8982002
matches,2993866,1387287271,18,1756509087,1756509097,1756509227,8982013,8982015
matches,2993866,1387287279,19,1756509527,1756509537,1756509667,8982006,8982003
matches,2993866,1387287287,20,1756509967,1756509977,1756510107,8982010,8982001
matches,2993866,1387287295,21,1756510407,1756510417,1756510547,8982005,8982013
matches,2993866,1387287303,22,1756510847,1756510857,1756510987,8982009,8982007
matches,2993866,1387287311,23,1756511287,1756511297,1756511427,8982004,8982011
matches,2993866,1387287319,24,1756511727,1756511737,1756511867,8982008,8982011
matches,2993866,1387287327,25,1756512167,1756512177,1756512307,8982003,8982016
matches,2993866,1387287335,26,1756512607,1756512617,1756512747,8982008,8982010
matches,2993866,1387287343,27,1756513047,1756513057,1756513187,8982006,8982009
matches,2993866,1387287351,28,1756513487,1756513497,1756513627,8982008,8982002
matches,2993866,1387287359,29,1756513927,1756513937,1756514067,8982001,8982008
matches,2993866,1387287367,30,1756514367,1756514377,1756514507,8982007,8982004
matches,2993866,1387287136,1,1756501607,1756501617,1756501747,8982013,8982016
matches,2993866,1387287144,2,1756502047,1756502057,1756502187,8982006,8982012
matches,2993866,1387287152,3,1756502487,1756502497,1756502627,8982001,8982004
matches,2993866,1387287160,4,1756502927,1756502937,1756503067,8982010,8982014
