match_id,round,home_uid,home,away_uid,away,res_home,res_away,p1_home,p1_away,ft_home,ft_away
1387277442,13,276512,Newcastle,276510,Manchester Kék,1,1,1,0,1,1
1387268624,28,276510,Manchester Kék,276512,Newcastle,0,0,0,0,0,0
1387268504,13,276512,Newcastle,276510,Manchester Kék,2,4,1,2,2,4
1387287175,6,276513,London Ágyúk,276505,Tottenham,3,1,0,0,3,1
1387277463,16,276505,Tottenham,276513,London Ágyúk,0,2,0,2,0,2
1387277343,1,276513,London Ágyúk,276505,Tottenham,3,0,1,0,3,0
1387268573,21,276513,London Ágyúk,276505,Tottenham,2,1,0,1,2,1
1387268453,6,276505,Tottenham,276513,London Ágyúk,1,4,0,1,1,4
1387287178,6,276516,Nottingham,276514,Wolverhampton,1,2,0,2,1,2
1387277527,24,276516,Nottingham,276514,Wolverhampton,0,0,0,0,0,0
1387277407,9,276514,Wolverhampton,276516,Nottingham,2,2,2,1,2,2
1387268612,26,276516,Nottingham,276514,Wolverhampton,0,2,0,0,0,2
1387268492,11,276514,Wolverhampton,276516,Nottingham,0,2,0,1,0,2
1387287176,6,276502,Vörös Ördögök,276501,Everton,1,0,1,0,1,0
1387277528,24,276502,Vörös Ördögök,276501,Everton,3,1,2,0,3,1
1387277408,9,276501,Everton,276502,Vörös Ördögök,1,2,1,1,1,2
1387268532,16,276501,Everton,276502,Vörös Ördögök,3,1,1,1,3,1
1387268412,1,276502,Vörös Ördögök,276501,Everton,1,0,0,0,1,0
1387287174,6,276508,Chelsea,276509,Crystal Palace,2,1,2,0,2,1
1387277540,26,276509,Crystal Palace,276508,Chelsea,0,1,0,1,0,1
1387277420,11,276508,Chelsea,276509,Crystal Palace,2,1,0,0,2,1
1387268535,17,276509,Crystal Palace,276508,Chelsea,0,1,0,0,0,1
1387268415,2,276508,Chelsea,276509,Crystal Palace,0,0,0,0,0,0
1387287172,6,276515,West Ham,276507,Liverpool,1,3,1,1,1,3
1387277480,18,276507,Liverpool,276515,West Ham,4,1,1,1,4,1
1387277360,3,276515,West Ham,276507,Liverpool,2,2,1,1,2,2
1387268634,29,276515,West Ham,276507,Liverpool,0,3,0,2,0,3
1387268514,14,276507,Liverpool,276515,West Ham,1,0,1,0,1,0
1387287173,6,276511,Brighton,276506,Brentford,0,3,0,2,0,3
1387277523,23,276511,Brighton,276506,Brentford,1,2,0,1,1,2
